# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	ctrl-PCR-neg-PUF	PUF-IPEX-8	PUF-JD14
a26e6cc23365c60897b7d620c23de990	33.0	0.0	10.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	218.0
696a81121e22498ecd36b0222a1f3e45	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46045d4dde51740390ad79d08b5e8ae2	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b00058d4ea560d1f485a16ec9bd4bbb	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
599e9bf055917fc15f72c7b50697f4e3	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e36d30cf8e9660d4833d1abf1ccde6e3	31.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0
c23caf9278e0952a7d0738be34f6b169	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0596ae9a3bda76ddc2878f2a301ba75e	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2250adcd41754c790d69ce89c4d7eec4	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
576a1f1232e44a39ce17f2d39f5f9386	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b17ea79010fd88460a39869e298518b5	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d43648e0f97d2d519f9413d07a7983e0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d20ed143ff6666950591d4ed11422091	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
